,Predictions
4127,1.2146705
4128,1.2146635
4129,1.214657
4130,1.2146508
4131,1.2146451
4132,1.21464
4133,1.2146407
4134,1.2146397
4135,1.2146429
4136,1.2146487
4137,1.2146559
4138,1.2146636
4139,1.2146715
4140,1.2146897
4141,1.2147031
4142,1.2147075
4143,1.2147065
4144,1.2147129
4145,1.2147177
4146,1.2147219
4147,1.2147254
4148,1.2147282
4149,1.2147306
4150,1.2147431
4151,1.2147508
4152,1.2147553
4153,1.2147577
4154,1.2147586
4155,1.2147639
4156,1.2147664
4157,1.214767
4158,1.2147664
4159,1.2147653
4160,1.2147635
4161,1.2147565
4162,1.2147622
4163,1.2147647
4164,1.2147654
4165,1.2147757
4166,1.2147858
4167,1.2147905
4168,1.2147915
4169,1.2147903
4170,1.2147877
4171,1.2147845
4172,1.214786
4173,1.214796
4174,1.2147999
4175,1.2148001
4176,1.2147981
4177,1.2147948
4178,1.2147852
4179,1.2147778
4180,1.2147717
4181,1.2147667
4182,1.2147627
4183,1.2147592
4184,1.2147564
4185,1.214754
4186,1.2147521
4187,1.2147504
4188,1.214749
4189,1.2147478
4190,1.2147415
4191,1.2147323
4192,1.2147269
4193,1.2147188
4194,1.2147093
4195,1.2146994
4196,1.2146895
4197,1.21468
4198,1.2146711
4199,1.2146629
4200,1.2146554
4201,1.2146488
4202,1.2146429
4203,1.2146376
4204,1.214633
4205,1.2146289
4206,1.2146255
4207,1.2146277
4208,1.2146335
4209,1.2146358
4210,1.2146362
4211,1.2146351
4212,1.2146333
4213,1.2146312
4214,1.2146287
4215,1.2146317
4216,1.2146378
4217,1.2146455
4218,1.2146541
4219,1.2146628
4220,1.2146713
4221,1.2146795
4222,1.2146815
4223,1.2146854
4224,1.2146901
4225,1.214695
4226,1.2147
4227,1.2147046
4228,1.2147038
4229,1.2146995
4230,1.2146933
4231,1.2146914
4232,1.2146921
4233,1.2147051
4234,1.2147251
4235,1.214738
4236,1.214757
4237,1.2147787
4238,1.2147855
4239,1.214783
4240,1.2147747
4241,1.2147632
4242,1.2147499
4243,1.2147362
4244,1.2147226
4245,1.2147096
4246,1.2146974
4247,1.214686
4248,1.2146758
4249,1.2146666
4250,1.2146583
4251,1.214651
4252,1.2146446
4253,1.214639
4254,1.214634
4255,1.2146297
4256,1.214626
4257,1.2146227
4258,1.21462
4259,1.2146176
4260,1.2146157
4261,1.2146139
4262,1.2146125
4263,1.2146113
4264,1.2146102
4265,1.2146094
4266,1.2146087
